"filename", "language", "JSON", "JSON with Comments", "Markdown", "JavaScript", "XML", "HTML", "vue", "PostCSS", "comment", "blank", "total"
"/Users/cramirez/mnt/raspi.local/modules/raspdomotic/client/src/components/devices/CameraDevice.vue", "vue", 0, 0, 0, 0, 0, 0, 132, 0, 0, 19, 151
"/Users/cramirez/mnt/raspi.local/modules/raspdomotic/client/src/components/devices/DeviceMapper.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 2, 4, 14
"/Users/cramirez/mnt/raspi.local/modules/raspdomotic/client/src/components/devices/SwitchDevice.vue", "vue", 0, 0, 0, 0, 0, 0, 368, 0, 3, 56, 427
"/Users/cramirez/mnt/raspi.local/modules/raspdomotic/client/src/main.js", "JavaScript", 0, 0, 0, 34, 0, 0, 0, 0, 8, 11, 53
"/Users/cramirez/mnt/raspi.local/modules/raspdomotic/client/src/permissions/routeRoles.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 0, 1, 0, 4
"/Users/cramirez/mnt/raspi.local/modules/raspdomotic/client/src/registerServiceWorker.js", "JavaScript", 0, 0, 0, 33, 0, 0, 0, 0, 6, 4, 43
"/Users/cramirez/mnt/raspi.local/modules/raspdomotic/client/src/router/index.js", "JavaScript", 0, 0, 0, 47, 0, 0, 0, 0, 9, 9, 65
"/Users/cramirez/mnt/raspi.local/modules/raspdomotic/client/src/service-worker.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 25
"/Users/cramirez/mnt/raspi.local/modules/raspdomotic/client/src/store/mainStore.js", "JavaScript", 0, 0, 0, 136, 0, 0, 0, 0, 12, 25, 173
"/Users/cramirez/mnt/raspi.local/modules/raspdomotic/client/src/utils/normalizeCommand.js", "JavaScript", 0, 0, 0, 33, 0, 0, 0, 0, 10, 10, 53
"/Users/cramirez/mnt/raspi.local/modules/raspdomotic/client/src/views/AuthFormView.vue", "vue", 0, 0, 0, 0, 0, 0, 134, 0, 8, 24, 166
"/Users/cramirez/mnt/raspi.local/modules/raspdomotic/client/src/views/ConfigurationView.vue", "vue", 0, 0, 0, 0, 0, 0, 292, 0, 7, 57, 356
"/Users/cramirez/mnt/raspi.local/modules/raspdomotic/client/src/views/DashboardView.vue", "vue", 0, 0, 0, 0, 0, 0, 243, 0, 7, 40, 290
"/Users/cramirez/mnt/raspi.local/modules/raspdomotic/client/src/views/HomeControlView.vue", "vue", 0, 0, 0, 0, 0, 0, 179, 0, 2, 30, 211
"/Users/cramirez/mnt/raspi.local/modules/raspdomotic/client/src/views/MainView.vue", "vue", 0, 0, 0, 0, 0, 0, 93, 0, 3, 15, 111
"/Users/cramirez/mnt/raspi.local/modules/raspdomotic/client/src/views/PruebasView.vue", "vue", 0, 0, 0, 0, 0, 0, 71, 0, 0, 8, 79
"/Users/cramirez/mnt/raspi.local/modules/raspdomotic/client/vue.config.js", "JavaScript", 0, 0, 0, 43, 0, 0, 0, 0, 24, 4, 71
"Total", "-", 56, 19, 19, 592, 3, 22, 4691, 747, 242, 1008, 7399
