"filename", "language", "JSON with Comments", "Markdown", "JavaScript", "JSON", "HTML", "vue", "XML", "PostCSS", "comment", "blank", "total"
"/Users/cramirez/mnt/raspi.local/modules/raspdomotic/client/README.md", "Markdown", 0, 19, 0, 0, 0, 0, 0, 0, 0, 6, 25
"/Users/cramirez/mnt/raspi.local/modules/raspdomotic/client/babel.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/cramirez/mnt/raspi.local/modules/raspdomotic/client/jsconfig.json", "JSON with Comments", 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"/Users/cramirez/mnt/raspi.local/modules/raspdomotic/client/package.json", "JSON", 0, 0, 0, 56, 0, 0, 0, 0, 0, 1, 57
"/Users/cramirez/mnt/raspi.local/modules/raspdomotic/client/public/img/icons/safari-pinned-tab.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"/Users/cramirez/mnt/raspi.local/modules/raspdomotic/client/public/index.html", "HTML", 0, 0, 0, 0, 22, 0, 0, 0, 1, 1, 24
"/Users/cramirez/mnt/raspi.local/modules/raspdomotic/client/src/App.vue", "vue", 0, 0, 0, 0, 0, 34, 0, 0, 0, 4, 38
"/Users/cramirez/mnt/raspi.local/modules/raspdomotic/client/src/api/api.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 32, 9, 67
"/Users/cramirez/mnt/raspi.local/modules/raspdomotic/client/src/api/auth.js", "JavaScript", 0, 0, 138, 0, 0, 0, 0, 0, 10, 22, 170
"/Users/cramirez/mnt/raspi.local/modules/raspdomotic/client/src/api/devices.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 0, 1, 5, 40
"/Users/cramirez/mnt/raspi.local/modules/raspdomotic/client/src/api/events.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 2, 2, 17
"/Users/cramirez/mnt/raspi.local/modules/raspdomotic/client/src/api/systemConfig.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 2, 2, 23
"/Users/cramirez/mnt/raspi.local/modules/raspdomotic/client/src/assets/css/AuthFormView.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 115, 7, 17, 139
"/Users/cramirez/mnt/raspi.local/modules/raspdomotic/client/src/assets/css/ConfigurationView.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 278, 13, 49, 340
"/Users/cramirez/mnt/raspi.local/modules/raspdomotic/client/src/assets/css/DashboardView.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 146, 14, 23, 183
